++,6159,Active,**
++,12327,Active,**
++,20762,Active,**
++,20768,Active,**
++,20791,Active,**
++,20800,Active,**
++,28145,Active,**
++,50626,Active,**
++,50632,Active,**
++,59194,Active,**
++,59196,Active,**
++,65065,Active,**
++,65075,Active,**
++,65107,Active,**
++,68829,Active,**
++,68835,Active,**
++,70410,Active,**
++,70851,Active,**
++,71167,Active,**
++,71339,Active,**
++,71420,Active,**
++,75456,Active,**
++,76386,Active,**
++,76401,Active,**
++,76411,Active,**
++,76425,Active,**
++,79403,Active,**
++,79414,Active,**
++,87056,Active,**
++,89374,Active,**
++,90764,Active,**
++,90823,Active,**
++,94120,Active,**
++,94264,Active,**
++,94581,Active,**
++,94613,Active,**
++,102119,Active,**
++,107049,Active,**
++,107463,Active,**
++,109178,Active,**
++,109186,Active,**
++,109187,Active,**
++,453200,Active,**
++,6663121,Active,**
++,9993122,Active,**
++,16IR1.00ISO-TCAM322,Active,**
++,16IR10I,Active,**
++,20768-5,Active,**
++,20800-1,Active,**
++,44413309M,Active,**
++,44413310M,Active,**
++,44422220M,Active,**
++,66611507M,Active,**
++,66621501M,Active,**
++,66691210M,Active,**
++,66691232M,Active,**
++,66691524M,Active,**
++,66692108M,Active,**
++,66692110M,Active,**
++,66692112M,Active,**
++,66692113M,Active,**
++,66692121M,Active,**
++,66692136M,Active,**
++,66692140M,Active,**
++,753021-02,Active,**
++,753021-06,Active,**
++,ARNO-150412,Active,**
++,ARNO-150924,Active,**
++,ARNO-160155,Active,**
++,ARNO-160208,Active,**
++,ARNO-160210,Active,**
++,ARNO-160232,Active,**
++,ARNO-160233,Active,**
++,ARNO-160235,Active,**
++,ARNO-160310,Active,**
++,ARNO-160317,Active,**
++,ARNO-160420,Active,**
++,ARNO-160607,Active,**
++,ARNO-160932,Active,**
++,ARNO-160939,Active,**
++,ARNO-161021,Active,**
++,ARNO-161042,Active,**
++,ARNO-161106,Active,**
++,ARNO-161115,Active,**
++,ARNO-161120,Active,**
++,ARNO-161126,Active,**
++,ARNO-161270,Active,**
++,ARNO-170233,Active,**
++,ARNO-170254,Active,**
++,ARNO-170306,Active,**
++,ARNO-170403,Active,**
++,ARNO-170707,Active,**
++,ARNO-170708,Active,**
++,ARNO-170717,Active,**
++,ARNO-171201,Active,**
++,ARNO-171202,Active,**
++,ARNO-171203,Active,**
++,ARNO-180119,Active,**
++,ARNO-180128,Active,**
++,ARNO-180129,Active,**
++,ARNO-180132,Active,**
++,ARNO-180151,Active,**
++,ARNO-180235,Active,**
++,ARNO-180301,Active,**
++,ARNO-180313,Active,**
++,ARNO-180377,Active,**
++,ARNO-180412,Active,**
++,ARNO-180517,Active,**
++,ARNO-180518,Active,**
++,ARNO-180519,Active,**
++,ARNO-180520,Active,**
++,ARNO-180521,Active,**
++,ARNO-180522,Active,**
++,ARNO-180523,Active,**
++,ARNO-180618,Active,**
++,BER20428ED5-4,Active,**
++,BT15R16-050G,Active,**
++,CCMW060204WITH2,Active,**
++,DCMW070202WITH2,Active,**
++,DCMW11T302WITH2,Active,**
++,DNGG150608EN-NFSAH,Active,**
++,DSDNN2525M12,Active,**
++,G-2156342,Active,**
++,MVA290-300L20C47-LN1,Active,**
++,MVA290-300R20C47-LN1,Active,**
++,NEWCOL,Active,**
++,S002-BT40-FMB32-45,Active,**
++,SNGN120416E040SN400,Active,**
++,SNMX120508EN-NMS1A,Active,**
++,SYIC-17075,Active,**
++,TA7C8965,Active,**
++,TA7C8966,Active,**
++,TA7C9869,Active,**
++,TA8C8991,Active,**
++,TB5D81346,Active,**
++,T-ICX16011-KPP8025,Active,**
++,TNGA160404WITH3,Active,**
++,WNGA080408SN300,Active,**
++,WNMG060404E-SSAH630,Active,**
++,Z16ER1.5ISOAZ203,Active,**
++,Z16IR1.0ISOAZ203,Active,**
,,,
,,,
,,,
,,,
,,,
,,,
,,,
